tree_id,split,method,params,B1_gt,B2_gt,B3_gt,B4_gt,B1_pred,B2_pred,B3_pred,B4_pred,MAE,total_gt,total_pred,within_1,error_sum
DAMIMAS_A21B_0266,train,corrected,None,2,1,9,0,2,1,8,0,0.25,12,11,True,1
DAMIMAS_A21B_0599,train,corrected,None,3,4,6,2,3,3,6,1,0.5,15,13,True,2
DAMIMAS_A21B_0024,train,corrected,None,1,0,6,3,2,0,6,4,0.5,10,12,True,2
DAMIMAS_A21B_0267,train,corrected,None,1,5,4,2,2,4,4,2,0.5,12,12,True,2
DAMIMAS_A21B_0600,train,corrected,None,3,2,7,4,3,2,7,4,0.0,16,16,True,0
DAMIMAS_A21B_0025,train,corrected,None,1,1,5,0,2,1,4,0,0.5,7,7,True,2
DAMIMAS_A21B_0268,train,corrected,None,2,6,5,6,2,4,4,5,1.0,19,15,False,4
DAMIMAS_A21B_0601,train,corrected,None,0,0,5,1,0,0,6,1,0.25,6,7,True,1
DAMIMAS_A21B_0026,train,corrected,None,0,1,4,2,0,1,4,2,0.0,7,7,True,0
DAMIMAS_A21B_0269,train,corrected,None,0,0,5,0,0,0,6,0,0.25,5,6,True,1
DAMIMAS_A21B_0602,train,corrected,None,4,4,5,3,4,4,4,2,0.5,16,14,True,2
DAMIMAS_A21B_0027,train,corrected,None,3,0,6,2,4,0,6,2,0.25,11,12,True,1
DAMIMAS_A21B_0270,train,corrected,None,1,2,7,0,1,2,6,0,0.25,10,9,True,1
DAMIMAS_A21B_0603,train,corrected,None,2,4,3,1,2,4,3,1,0.0,10,10,True,0
DAMIMAS_A21B_0028,train,corrected,None,0,1,5,6,0,1,6,5,0.5,12,12,True,2
DAMIMAS_A21B_0271,train,corrected,None,0,6,6,3,0,5,6,2,0.5,15,13,True,2
DAMIMAS_A21B_0604,train,corrected,None,0,3,2,1,0,3,2,1,0.0,6,6,True,0
DAMIMAS_A21B_0029,train,corrected,None,1,2,5,2,1,3,6,3,0.75,10,13,True,3
DAMIMAS_A21B_0272,train,corrected,None,1,1,5,2,1,2,5,2,0.25,9,10,True,1
DAMIMAS_A21B_0605,train,corrected,None,2,2,6,3,2,2,6,2,0.25,13,12,True,1
DAMIMAS_A21B_0030,train,corrected,None,0,0,5,3,0,0,5,2,0.25,8,7,True,1
DAMIMAS_A21B_0273,train,corrected,None,0,1,6,0,0,1,8,0,0.5,7,9,False,2
DAMIMAS_A21B_0606,train,corrected,None,1,5,4,4,1,4,4,4,0.25,14,13,True,1
DAMIMAS_A21B_0031,train,corrected,None,0,1,4,2,0,1,4,2,0.0,7,7,True,0
DAMIMAS_A21B_0274,train,corrected,None,0,1,8,3,0,1,8,2,0.25,12,11,True,1
DAMIMAS_A21B_0607,train,corrected,None,4,4,4,1,4,4,4,1,0.0,13,13,True,0
DAMIMAS_A21B_0032,train,corrected,None,2,1,5,3,2,1,6,4,0.5,11,13,True,2
DAMIMAS_A21B_0275,train,corrected,None,3,4,8,2,3,3,7,1,0.75,17,14,True,3
DAMIMAS_A21B_0608,train,corrected,None,0,2,8,3,0,2,8,3,0.0,13,13,True,0
DAMIMAS_A21B_0033,train,corrected,None,0,0,8,2,0,0,9,1,0.5,10,10,True,2
DAMIMAS_A21B_0276,train,corrected,None,1,1,3,0,2,1,3,0,0.25,5,6,True,1
DAMIMAS_A21B_0609,train,corrected,None,1,2,5,3,1,2,4,3,0.25,11,10,True,1
DAMIMAS_A21B_0034,train,corrected,None,0,1,3,6,0,1,3,5,0.25,10,9,True,1
DAMIMAS_A21B_0277,train,corrected,None,1,3,5,0,2,3,4,0,0.5,9,9,True,2
DAMIMAS_A21B_0610,train,corrected,None,0,6,4,2,0,6,3,2,0.25,12,11,True,1
DAMIMAS_A21B_0035,train,corrected,None,0,7,2,0,0,5,2,0,0.5,9,7,False,2
DAMIMAS_A21B_0278,train,corrected,None,2,4,6,0,3,4,4,0,0.75,12,11,False,3
DAMIMAS_A21B_0611,train,corrected,None,0,6,5,0,0,6,5,0,0.0,11,11,True,0
DAMIMAS_A21B_0036,train,corrected,None,0,1,7,0,0,1,7,0,0.0,8,8,True,0
DAMIMAS_A21B_0279,train,corrected,None,0,5,9,1,0,4,8,1,0.5,15,13,True,2
DAMIMAS_A21B_0612,train,corrected,None,0,1,8,0,0,1,7,0,0.25,9,8,True,1
DAMIMAS_A21B_0037,train,corrected,None,0,3,5,3,0,3,6,3,0.25,11,12,True,1
DAMIMAS_A21B_0280,train,corrected,None,2,3,4,4,2,2,3,4,0.5,13,11,True,2
DAMIMAS_A21B_0613,train,corrected,None,0,1,4,1,0,1,3,1,0.25,6,5,True,1
DAMIMAS_A21B_0038,train,corrected,None,2,0,5,5,2,0,5,5,0.0,12,12,True,0
DAMIMAS_A21B_0281,train,corrected,None,0,0,10,5,0,0,8,5,0.5,15,13,False,2
DAMIMAS_A21B_0614,train,corrected,None,2,5,5,4,2,6,4,3,0.75,16,15,True,3
DAMIMAS_A21B_0039,train,corrected,None,2,5,2,0,2,5,2,0,0.0,9,9,True,0
DAMIMAS_A21B_0282,train,corrected,None,4,0,6,0,4,0,6,0,0.0,10,10,True,0
DAMIMAS_A21B_0615,train,corrected,None,3,5,3,1,3,6,3,1,0.25,12,13,True,1
DAMIMAS_A21B_0040,train,corrected,None,2,2,4,3,2,2,4,4,0.25,11,12,True,1
DAMIMAS_A21B_0283,train,corrected,None,2,1,7,1,2,1,7,1,0.0,11,11,True,0
DAMIMAS_A21B_0616,train,corrected,None,2,2,5,4,2,2,5,3,0.25,13,12,True,1
DAMIMAS_A21B_0041,train,corrected,None,2,3,6,3,2,3,6,3,0.0,14,14,True,0
DAMIMAS_A21B_0617,train,corrected,None,3,3,5,1,3,3,5,1,0.0,12,12,True,0
DAMIMAS_A21B_0042,train,corrected,None,2,1,4,1,3,1,3,1,0.5,8,8,True,2
DAMIMAS_A21B_0618,train,corrected,None,3,4,2,1,3,3,2,1,0.25,10,9,True,1
DAMIMAS_A21B_0043,train,corrected,None,2,3,6,0,2,3,8,0,0.5,11,13,False,2
DAMIMAS_A21B_0619,train,corrected,None,6,4,6,0,6,3,6,0,0.25,16,15,True,1
DAMIMAS_A21B_0044,train,corrected,None,2,1,4,1,2,1,4,1,0.0,8,8,True,0
DAMIMAS_A21B_0620,train,corrected,None,2,1,9,2,2,1,9,2,0.0,14,14,True,0
DAMIMAS_A21B_0045,train,corrected,None,1,0,10,4,1,0,11,4,0.25,15,16,True,1
DAMIMAS_A21B_0621,train,corrected,None,3,3,8,2,3,3,7,2,0.25,16,15,True,1
DAMIMAS_A21B_0622,train,corrected,None,2,6,3,2,2,6,3,2,0.0,13,13,True,0
DAMIMAS_A21B_0623,train,corrected,None,2,5,5,0,2,5,6,0,0.25,12,13,True,1
DAMIMAS_A21B_0624,train,corrected,None,3,1,8,2,3,1,7,2,0.25,14,13,True,1
DAMIMAS_A21B_0625,train,corrected,None,0,3,9,3,0,3,9,4,0.25,15,16,True,1
DAMIMAS_A21B_0626,train,corrected,None,1,4,4,5,1,4,4,5,0.0,14,14,True,0
DAMIMAS_A21B_0627,train,corrected,None,2,4,4,0,2,4,4,0,0.0,10,10,True,0
DAMIMAS_A21B_0628,train,corrected,None,0,2,7,3,0,2,7,4,0.25,12,13,True,1
DAMIMAS_A21B_0629,train,corrected,None,2,0,6,1,2,0,7,1,0.25,9,10,True,1
DAMIMAS_A21B_0630,train,corrected,None,1,5,3,3,1,5,3,4,0.25,12,13,True,1
DAMIMAS_A21B_0631,train,corrected,None,0,3,3,0,0,3,3,0,0.0,6,6,True,0
DAMIMAS_A21B_0632,train,corrected,None,3,4,10,4,3,4,8,4,0.5,21,19,False,2
DAMIMAS_A21B_0633,train,corrected,None,0,0,2,0,0,0,2,0,0.0,2,2,True,0
DAMIMAS_A21B_0634,train,corrected,None,4,5,4,3,4,6,3,4,0.75,16,17,True,3
DAMIMAS_A21B_0635,train,corrected,None,3,7,5,3,3,6,4,3,0.5,18,16,True,2
DAMIMAS_A21B_0636,train,corrected,None,0,1,7,3,0,1,7,2,0.25,11,10,True,1
DAMIMAS_A21B_0637,train,corrected,None,2,0,2,1,2,0,2,1,0.0,5,5,True,0
DAMIMAS_A21B_0638,train,corrected,None,4,3,4,1,4,3,3,1,0.25,12,11,True,1
DAMIMAS_A21B_0639,train,corrected,None,2,1,10,1,2,1,9,1,0.25,14,13,True,1
DAMIMAS_A21B_0640,train,corrected,None,1,3,7,3,1,3,8,2,0.5,14,14,True,2
DAMIMAS_A21B_0641,train,corrected,None,3,3,5,4,3,3,5,4,0.0,15,15,True,0
DAMIMAS_A21B_0642,train,corrected,None,1,1,3,3,1,1,3,2,0.25,8,7,True,1
DAMIMAS_A21B_0644,train,corrected,None,0,2,7,3,0,2,8,4,0.5,12,14,True,2
DAMIMAS_A21B_0645,train,corrected,None,0,0,5,2,0,0,6,2,0.25,7,8,True,1
DAMIMAS_A21B_0646,train,corrected,None,0,4,5,2,0,4,5,2,0.0,11,11,True,0
DAMIMAS_A21B_0647,train,corrected,None,0,4,7,0,0,4,7,0,0.0,11,11,True,0
DAMIMAS_A21B_0648,train,corrected,None,0,0,8,3,0,0,7,4,0.5,11,11,True,2
DAMIMAS_A21B_0649,train,corrected,None,0,1,9,3,0,1,8,3,0.25,13,12,True,1
DAMIMAS_A21B_0650,train,corrected,None,2,2,6,3,2,2,5,2,0.5,13,11,True,2
DAMIMAS_A21B_0651,train,corrected,None,2,2,5,4,2,2,5,4,0.0,13,13,True,0
DAMIMAS_A21B_0652,train,corrected,None,2,3,4,2,2,3,4,1,0.25,11,10,True,1
DAMIMAS_A21B_0653,train,corrected,None,2,1,6,3,2,1,5,3,0.25,12,11,True,1
DAMIMAS_A21B_0654,train,corrected,None,3,6,3,4,3,5,3,4,0.25,16,15,True,1
DAMIMAS_A21B_0655,train,corrected,None,2,1,7,2,2,1,6,2,0.25,12,11,True,1
DAMIMAS_A21B_0656,train,corrected,None,2,0,9,5,2,0,8,4,0.5,16,14,True,2
DAMIMAS_A21B_0657,train,corrected,None,1,2,7,5,1,2,7,5,0.0,15,15,True,0
DAMIMAS_A21B_0658,train,corrected,None,1,2,3,1,1,2,2,1,0.25,7,6,True,1
DAMIMAS_A21B_0659,train,corrected,None,1,1,8,2,1,1,8,2,0.0,12,12,True,0
DAMIMAS_A21B_0660,train,corrected,None,0,2,5,3,0,2,5,3,0.0,10,10,True,0
DAMIMAS_A21B_0780,train,corrected,None,0,0,1,4,0,0,1,4,0.0,5,5,True,0
DAMIMAS_A21B_0781,train,corrected,None,0,4,5,3,0,4,5,4,0.25,12,13,True,1
DAMIMAS_A21B_0782,train,corrected,None,0,0,3,1,0,0,3,1,0.0,4,4,True,0
DAMIMAS_A21B_0783,train,corrected,None,1,2,8,3,2,2,7,2,0.75,14,13,True,3
DAMIMAS_A21B_0784,train,corrected,None,0,3,4,1,0,3,3,1,0.25,8,7,True,1
DAMIMAS_A21B_0785,train,corrected,None,0,2,4,0,0,2,6,0,0.5,6,8,False,2
DAMIMAS_A21B_0786,train,corrected,None,1,1,1,0,1,1,1,0,0.0,3,3,True,0
DAMIMAS_A21B_0787,train,corrected,None,0,3,4,0,0,3,4,0,0.0,7,7,True,0
DAMIMAS_A21B_0788,train,corrected,None,0,1,7,3,0,1,8,3,0.25,11,12,True,1
DAMIMAS_A21B_0789,train,corrected,None,2,5,4,5,2,4,4,4,0.5,16,14,True,2
DAMIMAS_A21B_0790,train,corrected,None,2,0,6,0,2,0,6,0,0.0,8,8,True,0
DAMIMAS_A21B_0791,train,corrected,None,0,1,4,0,0,1,4,0,0.0,5,5,True,0
DAMIMAS_A21B_0792,train,corrected,None,0,3,7,2,0,3,8,1,0.5,12,12,True,2
DAMIMAS_A21B_0794,train,corrected,None,0,2,9,0,0,2,9,0,0.0,11,11,True,0
DAMIMAS_A21B_0795,train,corrected,None,1,1,3,0,1,1,2,0,0.25,5,4,True,1
DAMIMAS_A21B_0796,train,corrected,None,0,0,5,1,0,0,6,1,0.25,6,7,True,1
DAMIMAS_A21B_0797,train,corrected,None,1,4,2,0,1,4,2,0,0.0,7,7,True,0
DAMIMAS_A21B_0798,train,corrected,None,1,2,4,0,1,3,4,0,0.25,7,8,True,1
DAMIMAS_A21B_0799,train,corrected,None,0,0,5,3,0,0,6,3,0.25,8,9,True,1
DAMIMAS_A21B_0800,train,corrected,None,0,2,5,3,0,3,4,3,0.5,10,10,True,2
DAMIMAS_A21B_0801,train,corrected,None,1,4,2,3,1,4,2,4,0.25,10,11,True,1
DAMIMAS_A21B_0802,train,corrected,None,1,2,2,4,1,2,2,4,0.0,9,9,True,0
DAMIMAS_A21B_0803,train,corrected,None,1,1,8,4,1,1,7,5,0.5,14,14,True,2
DAMIMAS_A21B_0804,train,corrected,None,1,2,5,1,1,2,5,1,0.0,9,9,True,0
DAMIMAS_A21B_0805,train,corrected,None,2,4,3,3,3,4,4,4,0.75,12,15,True,3
DAMIMAS_A21B_0806,train,corrected,None,1,0,5,1,1,0,6,1,0.25,7,8,True,1
DAMIMAS_A21B_0807,train,corrected,None,0,1,1,10,0,1,1,10,0.0,12,12,True,0
DAMIMAS_A21B_0808,train,corrected,None,2,1,3,4,3,2,3,5,0.75,10,13,True,3
DAMIMAS_A21B_0809,val,corrected,None,2,2,6,2,3,2,7,2,0.5,12,14,True,2
DAMIMAS_A21B_0546,test,corrected,None,2,5,4,5,2,6,4,5,0.25,16,17,True,1
DAMIMAS_A21B_0547,test,corrected,None,1,5,6,0,1,6,6,0,0.25,12,13,True,1
DAMIMAS_A21B_0548,test,corrected,None,1,3,4,3,1,3,4,4,0.25,11,12,True,1
DAMIMAS_A21B_0549,test,corrected,None,1,0,4,0,1,0,4,0,0.0,5,5,True,0
DAMIMAS_A21B_0550,test,corrected,None,2,4,4,5,2,4,4,5,0.0,15,15,True,0
DAMIMAS_A21B_0551,test,corrected,None,3,3,7,4,4,3,7,4,0.25,17,18,True,1
DAMIMAS_A21B_0552,test,corrected,None,3,4,2,0,4,4,2,0,0.25,9,10,True,1
DAMIMAS_A21B_0553,test,corrected,None,1,1,5,3,2,2,6,2,1.0,10,12,True,4
DAMIMAS_A21B_0554,test,corrected,None,2,3,4,5,2,3,6,7,1.0,14,18,False,4
DAMIMAS_A21B_0555,test,corrected,None,0,3,3,1,0,4,4,1,0.5,7,9,True,2
DAMIMAS_A21B_0556,test,corrected,None,2,4,4,3,2,4,4,2,0.25,13,12,True,1
DAMIMAS_A21B_0557,test,corrected,None,1,1,3,4,2,1,5,5,1.0,9,13,False,4
DAMIMAS_A21B_0558,test,corrected,None,0,3,4,3,0,4,5,4,0.75,10,13,True,3
DAMIMAS_A21B_0559,test,corrected,None,0,0,0,7,0,0,0,7,0.0,7,7,True,0
DAMIMAS_A21B_0560,test,corrected,None,0,2,3,0,0,2,3,0,0.0,5,5,True,0
DAMIMAS_A21B_0561,test,corrected,None,1,2,6,3,1,2,6,4,0.25,12,13,True,1
DAMIMAS_A21B_0562,test,corrected,None,2,4,6,4,2,4,4,4,0.5,16,14,False,2
DAMIMAS_A21B_0563,test,corrected,None,2,3,4,0,3,3,4,0,0.25,9,10,True,1
DAMIMAS_A21B_0564,test,corrected,None,3,2,4,3,3,2,3,4,0.5,12,12,True,2
DAMIMAS_A21B_0565,test,corrected,None,0,0,6,4,0,0,7,5,0.5,10,12,True,2
DAMIMAS_A21B_0566,test,corrected,None,1,4,5,3,2,4,6,4,0.75,13,16,True,3
DAMIMAS_A21B_0567,test,corrected,None,3,4,5,2,3,4,6,2,0.25,14,15,True,1
DAMIMAS_A21B_0568,test,corrected,None,2,3,4,3,2,3,4,4,0.25,12,13,True,1
DAMIMAS_A21B_0569,test,corrected,None,2,2,4,6,3,2,4,4,0.75,14,13,False,3
DAMIMAS_A21B_0570,test,corrected,None,0,3,5,3,0,3,6,4,0.5,11,13,True,2
DAMIMAS_A21B_0571,test,corrected,None,3,6,6,1,3,4,6,1,0.5,16,14,False,2
DAMIMAS_A21B_0572,test,corrected,None,2,3,2,2,2,3,1,2,0.25,9,8,True,1
DAMIMAS_A21B_0573,test,corrected,None,0,2,3,9,0,3,3,8,0.5,14,14,True,2
DAMIMAS_A21B_0574,test,corrected,None,0,0,3,2,0,0,5,2,0.5,5,7,False,2
DAMIMAS_A21B_0575,test,corrected,None,3,3,6,3,3,3,6,3,0.0,15,15,True,0
DAMIMAS_A21B_0576,test,corrected,None,3,5,4,4,3,4,4,4,0.25,16,15,True,1
